"host_id","host_name","host_url","host_total_listings_count","number_of_reviews","dirty_review_count","review_scores_cleanliness_clean","review_scores_rating_clean"
"21823",Greg,https://www.airbnb.com/users/show/21823,"12","115",6,4.8,4.77
"22346913",Gideon,https://www.airbnb.com/users/show/22346913,"1","144",6,4.74,4.81
"22373907",James,https://www.airbnb.com/users/show/22373907,"1","169",6,4.52,4.61
"22780462",Mark,https://www.airbnb.com/users/show/22780462,"4","151",6,4.49,4.32
"22864208",Rustam,https://www.airbnb.com/users/show/22864208,"4","107",6,4.6,4.79
"23772724",The Local Stay,https://www.airbnb.com/users/show/23772724,"67","10",6,4.67,4.8
"23901404",Ray,https://www.airbnb.com/users/show/23901404,"1"," ""Dryer""",6,0.0,0.0
"256161",Wayne,https://www.airbnb.com/users/show/256161,"12","239",6,4.59,4.66
"2653648",Kareem,https://www.airbnb.com/users/show/2653648,"2"," ""Luggage dropoff allowed""",6,0.0,0.0
"27379417",Dr.Sally,https://www.airbnb.com/users/show/27379417,"2","243",6,4.57,4.66
"27431753",Lasata,https://www.airbnb.com/users/show/27431753,"4","227",6,4.8,4.82
"2786764",Marianna,https://www.airbnb.com/users/show/2786764,"1","140",6,4.92,4.64
"27969560",Zach,https://www.airbnb.com/users/show/27969560,"1","161",6,4.58,4.61
"2801328",Ben,https://www.airbnb.com/users/show/2801328,"2","222",6,4.99,4.94
"28193427",Marvin,https://www.airbnb.com/users/show/28193427,"4","102",6,4.77,4.66
"2955215",Bee,https://www.airbnb.com/users/show/2955215,"13","269",6,4.8,4.84
"30616879",Anna,https://www.airbnb.com/users/show/30616879,"4","50",6,4.83,4.8
"31626212",Troy,https://www.airbnb.com/users/show/31626212,"5","172",6,4.75,4.67
"31673092",Ayal,https://www.airbnb.com/users/show/31673092,"1","108",6,4.35,4.39
"324460",Samir,https://www.airbnb.com/users/show/324460,"2","144",6,4.76,4.92
"327673",Stefano,https://www.airbnb.com/users/show/327673,"3","281",6,4.89,4.81
"3587751",Janet-David,https://www.airbnb.com/users/show/3587751,"2","284",6,4.93,4.92
"36899834",Juan,https://www.airbnb.com/users/show/36899834,"2","151",6,4.97,4.97
"37138251",Matthew,https://www.airbnb.com/users/show/37138251,"1","212",6,4.76,4.92
"38120363",Brian,https://www.airbnb.com/users/show/38120363,"6","165",6,4.92,4.84
"393473",Bobby,https://www.airbnb.com/users/show/393473,"6"," ""Smoke alarm""",6,0.0,0.0
"43298076",Gordon M,https://www.airbnb.com/users/show/43298076,"7","38",6,4.51,4.35
"44018877",Yves,https://www.airbnb.com/users/show/44018877,"4"," ""Hangers""",6,0.0,0.0
"4524130",Claire,https://www.airbnb.com/users/show/4524130,"4","480",6,4.83,4.84
"4548229",Brinton,https://www.airbnb.com/users/show/4548229,"5","200",6,4.58,4.67
"45519775",Ayman,https://www.airbnb.com/users/show/45519775,"1","213",6,4.91,4.88
"4644172",Sheena,https://www.airbnb.com/users/show/4644172,"2","73",6,4.67,4.63
"4769886",Thomas,https://www.airbnb.com/users/show/4769886,"4","189",6,4.4,4.52
"47790995",Harman,https://www.airbnb.com/users/show/47790995,"1","92",6,4.52,4.4
"49991005",Petrona,https://www.airbnb.com/users/show/49991005,"2","254",6,4.84,4.81
"50124",Orestes,https://www.airbnb.com/users/show/50124,"1","335",6,4.9,4.91
